,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,HIT,H2,H3,HR,SB,CS,BB,IB,KK,WP,BK,R,ER
121,20200818,OB,LT,0,T,0,W,0.0,27.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,2,2
122,20200818,KT,SS,0,T,0,W,0.0,27.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3,2
123,20200818,SK,HH,0,B,0,W,0.0,27.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,0.0,0.0,3,3
124,20200818,LG,HT,0,B,0,W,0.0,30.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,5,5
125,20200818,HH,SK,0,T,0,L,0.0,24.0,8.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,9,4
126,20200818,HT,LG,0,T,0,L,3.0,27.299999999999997,12.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,6,5
127,20200818,SS,KT,0,B,0,L,1.0,27.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6,5
128,20200818,WO,NC,0,T,0,L,0.0,24.0,7.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,5,5
129,20200818,LT,OB,0,B,0,L,0.0,27.0,16.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,9,8
130,20200819,LG,HT,0,B,0,W,0.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1,1
131,20200819,WO,NC,0,T,0,W,1.0,27.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4,3
132,20200819,LT,OB,0,B,0,W,0.0,27.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,1.0,3,3
133,20200819,SK,HH,0,B,0,W,0.0,27.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6,4
134,20200819,KT,SS,0,T,0,W,1.0,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,4,4
135,20200819,NC,WO,0,B,0,L,0.0,27.0,8.0,3.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,6,5
136,20200819,SS,KT,0,B,0,L,0.0,27.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,6,6
137,20200819,OB,LT,0,T,0,L,0.0,24.0,10.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,7,6
138,20200819,HT,LG,0,T,0,L,0.0,24.0,12.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,10,9
139,20200819,HH,SK,0,T,0,L,0.0,24.0,22.0,4.0,0.0,6.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,26,22
140,20200820,KT,HH,0,T,0,W,2.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,0
141,20200820,NC,HT,0,T,0,W,0.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,2,1
142,20200820,SS,SK,0,T,0,W,0.0,27.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3,3
143,20200820,WO,LG,0,B,0,W,0.0,27.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,5,5
144,20200820,LT,OB,0,T,0,W,0.0,27.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,5,5
145,20200820,HH,KT,0,B,0,L,0.0,27.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,3,3
146,20200820,SK,SS,0,B,0,L,0.0,27.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,8,5
147,20200820,OB,LT,0,B,0,L,0.0,27.0,11.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,6,6
148,20200820,LG,WO,0,T,0,L,1.0,24.0,8.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,0.0,6,6
149,20200820,HT,NC,0,B,0,L,0.0,27.0,21.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,14,14
150,20200821,OB,LT,0,B,0,W,0.0,27.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,0.0,0,0
151,20200821,HH,KT,0,B,0,W,0.0,27.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1,1
152,20200821,LG,WO,0,T,0,W,0.0,27.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,3,3
153,20200821,NC,HT,0,T,0,W,1.0,27.0,9.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,4,4
154,20200821,SK,SS,0,B,0,W,1.0,27.0,11.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,6,5
155,20200821,LT,OB,0,T,0,L,0.0,24.599999999999998,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1,1
156,20200821,KT,HH,0,T,0,L,0.0,24.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5,5
157,20200821,HT,NC,0,B,0,L,0.0,27.0,10.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10,6
158,20200821,WO,LG,0,B,0,L,0.0,27.0,10.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,7,7
159,20200821,SS,SK,0,T,0,L,1.0,24.0,12.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,8,8
160,20200822,OB,SK,0,T,0,W,0.0,27.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1,1
161,20200822,WO,HT,0,T,0,W,0.0,27.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,3,1
162,20200822,LT,SS,0,T,0,W,3.0,27.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,3,2
163,20200822,HT,WO,0,B,0,L,1.0,24.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4,4
164,20200822,SS,LT,0,B,0,L,0.0,27.0,13.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,5,5
165,20200822,SK,OB,0,B,0,L,0.0,27.0,12.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,9.0,1.0,0.0,8,6
166,20200823,LT,SS,0,T,0,W,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0
167,20200823,OB,SK,0,T,0,W,0.0,27.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,1,1
168,20200823,KT,NC,0,B,0,W,0.0,27.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1,1
169,20200823,HH,LG,0,T,0,W,3.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0.0,3,3
